😄	:smile:	#happy,#joy,#pleased	smiling_face_with_open_mouth_and_smiling_eyes
😃	:smiley:	#happy,#joy,#haha	smiling_face_with_open_mouth
😀	:grinning:	#smile,#happy	grinning_face
😊	:blush:	#proud	smiling_face_with_smiling_eyes
☺️	:relaxed:	#blush,#pleased	white_smiling_face
😉	:wink:	#flirt	winking_face
😍	:heart_eyes:	#love,#crush	smiling_face_with_heart-shaped_eyes
😘	:kissing_heart:	#flirt	face_throwing_a_kiss
😚	:kissing_closed_eyes:	-	kissing_face_with_closed_eyes
😗	:kissing:	-	kissing_face
😙	:kissing_smiling_eyes:	-	kissing_face_with_smiling_eyes
😜	:stuck_out_tongue_winking_eye:	#prank,#silly	face_with_stuck-out_tongue_and_winking_eye
😝	:stuck_out_tongue_closed_eyes:	#prank	face_with_stuck-out_tongue_and_tightly-closed_eyes
😛	:stuck_out_tongue:	-	face_with_stuck-out_tongue
😳	:flushed:	-	flushed_face
😁	:grin:	-	grinning_face_with_smiling_eyes
😔	:pensive:	-	pensive_face
😌	:relieved:	#whew	relieved_face
😒	:unamused:	#meh	unamused_face
😞	:disappointed:	#sad	disappointed_face
😣	:persevere:	#struggling	persevering_face
😢	:cry:	#sad,#tear	crying_face
😂	:joy:	#tears	face_with_tears_of_joy
😭	:sob:	#sad,#cry,#bawling	loudly_crying_face
😪	:sleepy:	#tired	sleepy_face
😥	:disappointed_relieved:	#phew,#sweat,#nervous	disappointed_but_relieved_face
😰	:cold_sweat:	#nervous	face_with_open_mouth_and_cold_sweat
😅	:sweat_smile:	#hot	smiling_face_with_open_mouth_and_cold_sweat
😓	:sweat:	-	face_with_cold_sweat
😩	:weary:	#tired	weary_face
😫	:tired_face:	#upset,#whine	tired_face
😨	:fearful:	#scared,#shocked,#oops	fearful_face
😱	:scream:	#horror,#shocked	face_screaming_in_fear
😠	:angry:	#mad,#annoyed	angry_face
😡	:rage:,:pout:	#angry	pouting_face
😤	:triumph:	#smug	face_with_look_of_triumph
